tissue,cell_type,gene
kidney,Podocyte,LMX1B
kidney,Podocyte,LOXL2
kidney,Podocyte,LRRC49
kidney,Podocyte,LUC7L2
kidney,Podocyte,MAFB
kidney,Podocyte,MAGI2
kidney,Podocyte,MAPT
kidney,Podocyte,MERTK
kidney,Podocyte,MET
kidney,Podocyte,MYO1D
kidney,Podocyte,MYO1E
kidney,Podocyte,MYOC
kidney,Podocyte,NEBL
kidney,Podocyte,NLRP3
kidney,Podocyte,NPHS1
kidney,Podocyte,NPHS2
kidney,Podocyte,NPR1
kidney,Podocyte,NPR3
kidney,Podocyte,NTNG1
kidney,Podocyte,OPTN
kidney,Podocyte,PARD3B
kidney,Podocyte,PLCE1
kidney,Podocyte,PLEKHH2
kidney,Podocyte,PLOD2
kidney,Podocyte,PODXL
kidney,Podocyte,PROS1
kidney,Podocyte,PTH1R
kidney,Podocyte,PTPRO
kidney,Podocyte,PTPRQ
kidney,Podocyte,QK
kidney,Podocyte,RAB3B
kidney,Podocyte,RHPN1
kidney,Podocyte,SEMA3E
kidney,Podocyte,SEMA3G
kidney,Podocyte,SH2D4A
kidney,Podocyte,SLC2A4
kidney,Podocyte,SRGAP1
kidney,Podocyte,ST6GALNAC3
kidney,Podocyte,SULF1
kidney,Podocyte,SYNPO
kidney,Podocyte,TARID
kidney,Podocyte,TCF21
kidney,Podocyte,TDRD5
kidney,Podocyte,THSD7A
kidney,Podocyte,TNS2
kidney,Podocyte,TOB1
kidney,Podocyte,TRIB2
kidney,Podocyte,VEGFA
kidney,Podocyte,WSB2
kidney,Podocyte,WT1
kidney,Podocyte,ZBTB8A
kidney,Podocyte,ZFP91
kidney,Podocyte,ZNF804A
kidney,Principal cell,1600029D21RIK
kidney,Principal cell,ABTB2
kidney,Principal cell,ACER2
kidney,Principal cell,ADGRG1
kidney,Principal cell,ADH1
kidney,Principal cell,ADH1A
kidney,Principal cell,AI838599
kidney,Principal cell,AIF1L
kidney,Principal cell,AKR1B3
kidney,Principal cell,AKR1C19
kidney,Principal cell,ANK3
kidney,Principal cell,APELA
kidney,Principal cell,AQP2
kidney,Principal cell,AQP3
kidney,Principal cell,AQP4
kidney,Principal cell,ARHGDIB
kidney,Principal cell,ATP1B1
kidney,Principal cell,AVPR2
kidney,Principal cell,BC018473
kidney,Principal cell,BMPR1B
kidney,Principal cell,BTC
kidney,Principal cell,C11ORF80
kidney,Principal cell,CADPS2
kidney,Principal cell,CAV1
kidney,Principal cell,CAV2
kidney,Principal cell,CD24
kidney,Principal cell,CD24A
kidney,Principal cell,CDH16
kidney,Principal cell,CDKL1
kidney,Principal cell,CDO1
kidney,Principal cell,CELSR2
kidney,Principal cell,CHPT1
kidney,Principal cell,CLDN4
kidney,Principal cell,CRYAB
kidney,Principal cell,CTSD
kidney,Principal cell,CYSTM1
kidney,Principal cell,EDARADD
kidney,Principal cell,EDNRB
kidney,Principal cell,ELF5
kidney,Principal cell,EYA4
kidney,Principal cell,FOXQ1
kidney,Principal cell,FSTL1
kidney,Principal cell,FXYD2
kidney,Principal cell,FXYD4
kidney,Principal cell,FZD1
kidney,Principal cell,FZD7
kidney,Principal cell,GATA3
kidney,Principal cell,GJB1
kidney,Principal cell,GM10664
kidney,Principal cell,GPRC5B
kidney,Principal cell,GRIP1
kidney,Principal cell,GSTA3
kidney,Principal cell,GSTT1
kidney,Principal cell,HES1
kidney,Principal cell,HSD11B2
kidney,Principal cell,HSD3B6
kidney,Principal cell,ID2
kidney,Principal cell,ID3
kidney,Principal cell,IFRD1
kidney,Principal cell,IGFBP7
kidney,Principal cell,IVNS1ABP
kidney,Principal cell,KCNE1
kidney,Principal cell,KCNJ1
kidney,Principal cell,KLK1
kidney,Principal cell,KRT18
kidney,Principal cell,KRT7
kidney,Principal cell,KSR2
kidney,Principal cell,L1CAM
kidney,Principal cell,LDHA
kidney,Principal cell,LGALS3
kidney,Principal cell,LINC01482
kidney,Principal cell,MALAT1
kidney,Principal cell,MECOM
kidney,Principal cell,MGST3
kidney,Principal cell,MYH10
kidney,Principal cell,NEAT1
kidney,Principal cell,NPNT
kidney,Principal cell,NR3C2
kidney,Principal cell,NUDT4
kidney,Principal cell,OLFM1
kidney,Principal cell,PAPPA
kidney,Principal cell,PDE4D
kidney,Principal cell,PDZK1IP1
kidney,Principal cell,PELI2
kidney,Principal cell,PHACTR1
kidney,Principal cell,PIK3C2G
kidney,Principal cell,PLET1
kidney,Principal cell,PRKAG2
kidney,Principal cell,PTGER1
kidney,Principal cell,PTGES
kidney,Principal cell,PWRN1
kidney,Principal cell,RANBP3L
kidney,Principal cell,RHCG
kidney,Principal cell,RNF186
kidney,Principal cell,SCG5
kidney,Principal cell,SCNN1A
kidney,Principal cell,SCNN1B
kidney,Principal cell,SCNN1G
kidney,Principal cell,SGK1
kidney,Principal cell,SLC2A9
kidney,Principal cell,SPINK8
kidney,Principal cell,STC1
kidney,Principal cell,TACSTD2
kidney,Principal cell,TBCK
kidney,Principal cell,TBX3
kidney,Principal cell,TMEM178
kidney,Principal cell,TMEM178A
kidney,Principal cell,TMEM229A
kidney,Principal cell,TMEM45B
kidney,Principal cell,TRPM3
kidney,Principal cell,TRPV5
kidney,Principal cell,TSPAN1
kidney,Principal cell,TSPAN8
kidney,Principal cell,TUBB2A
kidney,Principal cell,WFDC2
kidney,Principal cell,ZFP36
kidney,Proximal tubule brush border cell,2010107E04RIK
kidney,Proximal tubule brush border cell,ABHD14B
kidney,Proximal tubule brush border cell,ACAA1B
kidney,Proximal tubule brush border cell,ACADM
kidney,Proximal tubule brush border cell,ACOT13
kidney,Proximal tubule brush border cell,ACY3
kidney,Proximal tubule brush border cell,AI314278
kidney,Proximal tubule brush border cell,AKR1A1
kidney,Proximal tubule brush border cell,AKR1C21
kidney,Proximal tubule brush border cell,ALDH2
kidney,Proximal tubule brush border cell,ALDOB
kidney,Proximal tubule brush border cell,ASS1
kidney,Proximal tubule brush border cell,ATP5A1
kidney,Proximal tubule brush border cell,ATP5C1
kidney,Proximal tubule brush border cell,ATP5D
kidney,Proximal tubule brush border cell,ATP5F1
kidney,Proximal tubule brush border cell,ATP5F1A
kidney,Proximal tubule brush border cell,ATP5F1C
kidney,Proximal tubule brush border cell,ATP5F1D
kidney,Proximal tubule brush border cell,ATP5G1
kidney,Proximal tubule brush border cell,ATP5H
kidney,Proximal tubule brush border cell,ATP5IF1
kidney,Proximal tubule brush border cell,ATP5MC1
kidney,Proximal tubule brush border cell,ATP5MPL
kidney,Proximal tubule brush border cell,ATP5PD
kidney,Proximal tubule brush border cell,ATPIF1
kidney,Proximal tubule brush border cell,BDH2
kidney,Proximal tubule brush border cell,BPHL
kidney,Proximal tubule brush border cell,CALML4
kidney,Proximal tubule brush border cell,CAT
kidney,Proximal tubule brush border cell,CBR1
kidney,Proximal tubule brush border cell,CD63
kidney,Proximal tubule brush border cell,CDA
kidney,Proximal tubule brush border cell,CELA1
kidney,Proximal tubule brush border cell,CHCHD10
kidney,Proximal tubule brush border cell,CISD1
kidney,Proximal tubule brush border cell,COX5A
kidney,Proximal tubule brush border cell,COX7C
kidney,Proximal tubule brush border cell,CRYZ
kidney,Proximal tubule brush border cell,CYB5A
kidney,Proximal tubule brush border cell,DBI
kidney,Proximal tubule brush border cell,DCXR
kidney,Proximal tubule brush border cell,DNAJC12
kidney,Proximal tubule brush border cell,ECH1
kidney,Proximal tubule brush border cell,ETFB
kidney,Proximal tubule brush border cell,FAH
kidney,Proximal tubule brush border cell,FBP1
kidney,Proximal tubule brush border cell,FMO1
kidney,Proximal tubule brush border cell,FTH1
kidney,Proximal tubule brush border cell,FTL1
kidney,Proximal tubule brush border cell,FXYD2
kidney,Proximal tubule brush border cell,GABARAPL1
kidney,Proximal tubule brush border cell,GAPDH
kidney,Proximal tubule brush border cell,GLYAT
kidney,Proximal tubule brush border cell,GPX1
kidney,Proximal tubule brush border cell,GPX3
kidney,Proximal tubule brush border cell,GPX4
kidney,Proximal tubule brush border cell,GSTA2
kidney,Proximal tubule brush border cell,GSTT2
kidney,Proximal tubule brush border cell,GUCA2B
kidney,Proximal tubule brush border cell,HAO2
kidney,Proximal tubule brush border cell,HINT2
kidney,Proximal tubule brush border cell,HIST1H2BC
kidney,Proximal tubule brush border cell,IAH1
kidney,Proximal tubule brush border cell,KEG1
kidney,Proximal tubule brush border cell,KHK
kidney,Proximal tubule brush border cell,LDHB
kidney,Proximal tubule brush border cell,MDH1
kidney,Proximal tubule brush border cell,MIOX
kidney,Proximal tubule brush border cell,MPC2
kidney,Proximal tubule brush border cell,MSRA
kidney,Proximal tubule brush border cell,NDRG1
kidney,Proximal tubule brush border cell,NDUFA5
kidney,Proximal tubule brush border cell,NDUFA6
kidney,Proximal tubule brush border cell,NDUFB6
kidney,Proximal tubule brush border cell,OXCT1
kidney,Proximal tubule brush border cell,PAH
kidney,Proximal tubule brush border cell,PCBD1
kidney,Proximal tubule brush border cell,PCK1
kidney,Proximal tubule brush border cell,PDZK1
kidney,Proximal tubule brush border cell,PDZK1IP1
kidney,Proximal tubule brush border cell,PECR
kidney,Proximal tubule brush border cell,PHYH
kidney,Proximal tubule brush border cell,PLSCR2
kidney,Proximal tubule brush border cell,PRDX1
kidney,Proximal tubule brush border cell,PRDX5
kidney,Proximal tubule brush border cell,PTER
kidney,Proximal tubule brush border cell,QDPR
kidney,Proximal tubule brush border cell,RDH16F2
kidney,Proximal tubule brush border cell,RIDA
kidney,Proximal tubule brush border cell,SCP2
kidney,Proximal tubule brush border cell,SDHC
kidney,Proximal tubule brush border cell,SELENBP1
kidney,Proximal tubule brush border cell,SLC25A3
kidney,Proximal tubule brush border cell,SLC25A5
kidney,Proximal tubule brush border cell,SLC34A1
kidney,Proximal tubule brush border cell,SORD
kidney,Proximal tubule brush border cell,SPINK1
kidney,Proximal tubule brush border cell,SUCLG1
kidney,Proximal tubule brush border cell,SULT1D1
kidney,Proximal tubule brush border cell,SULT1D1P
kidney,Proximal tubule brush border cell,TMEM27
kidney,Proximal tubule brush border cell,TTC36
kidney,Proximal tubule brush border cell,UQCR10
kidney,Proximal tubule brush border cell,UQCRB
kidney,Proximal tubule brush border cell,UQCRFS1
kidney,Proximal tubule brush border cell,UQCRH
kidney,Proximal tubule brush border cell,USMG5
kidney,Proximal tubule cell,4833439L19RIK
kidney,Proximal tubule cell,ABCC2
kidney,Proximal tubule cell,AGXT2
kidney,Proximal tubule cell,AK4
kidney,Proximal tubule cell,ALPL
kidney,Proximal tubule cell,AOAH
kidney,Proximal tubule cell,APOE
kidney,Proximal tubule cell,AQP1
kidney,Proximal tubule cell,ASL
kidney,Proximal tubule cell,ASS1
kidney,Proximal tubule cell,CACNG5
kidney,Proximal tubule cell,CDKN3
kidney,Proximal tubule cell,CLDN2
kidney,Proximal tubule cell,CRYL1
kidney,Proximal tubule cell,CYP2E1
kidney,Proximal tubule cell,DPP4
kidney,Proximal tubule cell,ECI3
kidney,Proximal tubule cell,ENPEP
kidney,Proximal tubule cell,FAH
kidney,Proximal tubule cell,FBP1
kidney,Proximal tubule cell,FOLR1
kidney,Proximal tubule cell,FUT9
kidney,Proximal tubule cell,G6PC
kidney,Proximal tubule cell,G6PC1
kidney,Proximal tubule cell,GC
kidney,Proximal tubule cell,GCDH
kidney,Proximal tubule cell,GHR
kidney,Proximal tubule cell,GLYAT
kidney,Proximal tubule cell,GNG13
kidney,Proximal tubule cell,GSTA2
kidney,Proximal tubule cell,GSTZ1
kidney,Proximal tubule cell,HAAO
kidney,Proximal tubule cell,HGD
kidney,Proximal tubule cell,HNF4A
kidney,Proximal tubule cell,HSD11B1
kidney,Proximal tubule cell,KAP
kidney,Proximal tubule cell,KEG1
kidney,Proximal tubule cell,KHK
kidney,Proximal tubule cell,LRP2
kidney,Proximal tubule cell,MIOX
kidney,Proximal tubule cell,NAPSA
kidney,Proximal tubule cell,NME4
kidney,Proximal tubule cell,NOX4
kidney,Proximal tubule cell,OSGIN1
kidney,Proximal tubule cell,PCK1
kidney,Proximal tubule cell,PDZK1
kidney,Proximal tubule cell,PKHD1
kidney,Proximal tubule cell,PPIC
kidney,Proximal tubule cell,RBP4
kidney,Proximal tubule cell,SCIN
kidney,Proximal tubule cell,SERPINF2
kidney,Proximal tubule cell,SLC13A1
kidney,Proximal tubule cell,SLC13A3
kidney,Proximal tubule cell,SLC16A9
kidney,Proximal tubule cell,SLC17A1
kidney,Proximal tubule cell,SLC17A3
kidney,Proximal tubule cell,SLC22A1
kidney,Proximal tubule cell,SLC22A12
kidney,Proximal tubule cell,SLC22A13
kidney,Proximal tubule cell,SLC22A19
kidney,Proximal tubule cell,SLC22A6
kidney,Proximal tubule cell,SLC22A7
kidney,Proximal tubule cell,SLC22A8
kidney,Proximal tubule cell,SLC23A3
kidney,Proximal tubule cell,SLC34A1
kidney,Proximal tubule cell,SLC36A2
kidney,Proximal tubule cell,SLC47A1
kidney,Proximal tubule cell,SLC4A4
kidney,Proximal tubule cell,SLC5A1
kidney,Proximal tubule cell,SLC5A12
kidney,Proximal tubule cell,SLC5A2
kidney,Proximal tubule cell,SLC5A8
kidney,Proximal tubule cell,SLC6A18
kidney,Proximal tubule cell,SLC6A19
kidney,Proximal tubule cell,SLC6A20B
kidney,Proximal tubule cell,SLC7A13
kidney,Proximal tubule cell,SLC9A8
kidney,Proximal tubule cell,SLCO1A6
kidney,Proximal tubule cell,SOD3
kidney,Proximal tubule cell,SORD
kidney,Proximal tubule cell,TFF3
kidney,Proximal tubule cell,TGFBI
kidney,Proximal tubule cell,TMEM106A
kidney,Proximal tubule cell,TMEM27
kidney,Proximal tubule cell,TTC36
kidney,Proximal tubule cell,UPB1
kidney,Proximal tubule epithelial cell,ACMSD
kidney,Proximal tubule epithelial cell,ACSM2A
kidney,Proximal tubule epithelial cell,ACSM2B
kidney,Proximal tubule epithelial cell,AFM
kidney,Proximal tubule epithelial cell,AGXT2
kidney,Proximal tubule epithelial cell,CDH9
kidney,Proximal tubule epithelial cell,CLDN10
kidney,Proximal tubule epithelial cell,CRYL1
kidney,Proximal tubule epithelial cell,CUBN
kidney,Proximal tubule epithelial cell,DPYS
kidney,Proximal tubule epithelial cell,ERRFI1
kidney,Proximal tubule epithelial cell,LINC00671
kidney,Proximal tubule epithelial cell,LINC01020
kidney,Proximal tubule epithelial cell,LINC02027
kidney,Proximal tubule epithelial cell,PAH
kidney,Proximal tubule epithelial cell,PLG
kidney,Proximal tubule epithelial cell,RAB11FIP3
kidney,Proximal tubule epithelial cell,SLC13A1
kidney,Proximal tubule epithelial cell,SLC13A3
kidney,Proximal tubule epithelial cell,SLC17A1
kidney,Proximal tubule epithelial cell,SLC28A1
kidney,Proximal tubule epithelial cell,SLC2A9
kidney,Proximal tubule epithelial cell,SLC34A1
kidney,Proximal tubule epithelial cell,SLC36A2
kidney,Proximal tubule epithelial cell,SLC5A12
kidney,Proximal tubule epithelial cell,SLC6A13
kidney,Proximal tubule epithelial cell,SMIM2-AS1
kidney,Proximal tubule epithelial cell,SUGCT
kidney,Proximal tubule epithelial cell,TINAG
kidney,Renal alpha-intercalated cell,ATP6V0D2
kidney,Renal alpha-intercalated cell,ATP6V1C2
kidney,Renal alpha-intercalated cell,CLNK
kidney,Renal alpha-intercalated cell,GALNT17
kidney,Renal alpha-intercalated cell,KIT
kidney,Renal alpha-intercalated cell,PACRG
kidney,Renal alpha-intercalated cell,PDE1C
kidney,Renal alpha-intercalated cell,PTGER3
kidney,Renal alpha-intercalated cell,RHCG
kidney,Renal alpha-intercalated cell,SLC26A7
kidney,Schwann cell,ADGRB3
kidney,Schwann cell,CADM2
kidney,Schwann cell,CDH19
kidney,Schwann cell,CYP27C1
kidney,Schwann cell,EPB41L2
kidney,Schwann cell,GINS3
kidney,Schwann cell,KIRREL3
kidney,Schwann cell,NCAM1
kidney,Schwann cell,NRXN1
kidney,Schwann cell,PRIMA1
kidney,Schwann cell,SCN7A
kidney,Schwann cell,STARD13
kidney,Schwann cell,ZNF536
kidney,T cell,BCL11B
kidney,T cell,CAMK4
kidney,T cell,CD247
kidney,T cell,CD28
kidney,T cell,CD3
kidney,T cell,CD3D
kidney,T cell,CD3E
kidney,T cell,CD3G
kidney,T cell,CD96
kidney,T cell,CXCR6
kidney,T cell,FAM189B
kidney,T cell,GIMAP3
kidney,T cell,GIMAP3P
kidney,T cell,GM10260
kidney,T cell,IL7R
kidney,T cell,ITK
kidney,T cell,LEF1
kidney,T cell,LINC01934
kidney,T cell,LTB
kidney,T cell,RAPGEF6
kidney,T cell,RASGRP1
kidney,T cell,RHOH
kidney,T cell,RPL12
kidney,T cell,RPLP1
kidney,T cell,RPS16
kidney,T cell,RPS18-PS6
kidney,T cell,RPS23
kidney,T cell,RPS4X
kidney,T cell,SATB1
kidney,T cell,SLFN12L
kidney,T cell,SOCS2
kidney,T cell,THEMIS
kidney,T cell,TMSB10
kidney,T cell,TPT1
liver,B cell,B3GAT1
liver,B cell,BACH2
liver,B cell,BANK1
liver,B cell,BCL11A
liver,B cell,BIRC3
liver,B cell,BLNK
liver,B cell,BST1
liver,B cell,BTLA
liver,B cell,CCR7
liver,B cell,CD14
liver,B cell,CD19
liver,B cell,CD2
liver,B cell,CD20
liver,B cell,CD22
liver,B cell,CD24
liver,B cell,CD27
liver,B cell,CD37
liver,B cell,CD38
liver,B cell,CD40
liver,B cell,CD5
liver,B cell,CD52
liver,B cell,CD55
liver,B cell,CD69
liver,B cell,CD70
liver,B cell,CD72
liver,B cell,CD74
liver,B cell,CD79A
liver,B cell,CD79B
liver,B cell,CD80
liver,B cell,CD86
liver,B cell,CMAH
liver,B cell,CMAHP
liver,B cell,CR2
liver,B cell,CRELD2
liver,B cell,CXCR4
liver,B cell,DERL3
liver,B cell,DNTT
liver,B cell,DOK3
liver,B cell,EAF2
liver,B cell,EBF1
liver,B cell,EDEM1
liver,B cell,EDEM2
liver,B cell,FAM129C
liver,B cell,FAM46C
liver,B cell,FCER2
liver,B cell,FCER2A
liver,B cell,FCHSD2
liver,B cell,FCMR
liver,B cell,FCRL1
liver,B cell,FCRL2
liver,B cell,FCRLA
liver,B cell,FCRLB
liver,B cell,FKBP11
liver,B cell,FLI1
liver,B cell,H2-DMB2
liver,B cell,H2-OA
liver,B cell,H2-OB
liver,B cell,HLA-DQA1
liver,B cell,HLA-DRA
liver,B cell,HMGA1
liver,B cell,HVCN1
liver,B cell,IFIT3
liver,B cell,IGHA
liver,B cell,IGHD
liver,B cell,IGHG1
liver,B cell,IGHG3
liver,B cell,IGHG4
liver,B cell,IGHM
liver,B cell,IGKC
liver,B cell,IGLC1
liver,B cell,IGLC2
liver,B cell,IGLC3
liver,B cell,IGLL1
liver,B cell,IGLV1
liver,B cell,IL21R
liver,B cell,JCHAIN
liver,B cell,KLHL6
liver,B cell,LAIR1
liver,B cell,LRMP
liver,B cell,LTB
liver,B cell,LY6D
liver,B cell,MME
liver,B cell,MS4A1
liver,B cell,MSH5
liver,B cell,MUM1
liver,B cell,MZB1
liver,B cell,PAX5
liver,B cell,PDCD1
liver,B cell,POLD4
liver,B cell,POU2AF1
liver,B cell,PTPRC
liver,B cell,PXK
liver,B cell,RALGPS2
liver,B cell,RASGRP3
liver,B cell,SCD1
liver,B cell,SDC1
liver,B cell,SEC61A1
liver,B cell,SEMA6D
liver,B cell,SIGLECG
liver,B cell,SLAMF6
liver,B cell,SMAP2
liver,B cell,SPCS3
liver,B cell,SPIB
liver,B cell,SPN
liver,B cell,SWAP70
liver,B cell,TLR9
liver,B cell,TNFRSF13B
liver,B cell,TNFRSF13C
liver,B cell,TNFRSF17
liver,B cell,TNFRSF9
liver,B cell,TNFSF4
liver,B cell,TRP53INP1
liver,B cell,TXNDC11
liver,B cell,VPREB1
liver,B cell,VPREB2
liver,B cell,VPREB3
liver,Cholangiocyte,AGR2
liver,Cholangiocyte,ALB
liver,Cholangiocyte,ALPL
liver,Cholangiocyte,AQP1
liver,Cholangiocyte,AQP4
liver,Cholangiocyte,CCKBR
liver,Cholangiocyte,CD24
liver,Cholangiocyte,CFTR
liver,Cholangiocyte,CLDN4
liver,Cholangiocyte,CXCL1
liver,Cholangiocyte,CXCL5
liver,Cholangiocyte,CXCL6
liver,Cholangiocyte,DEFB1
liver,Cholangiocyte,ELF3
liver,Cholangiocyte,EPCAM
liver,Cholangiocyte,FXYD2
liver,Cholangiocyte,GGT1
liver,Cholangiocyte,GGT6
liver,Cholangiocyte,GGT7
liver,Cholangiocyte,GPBAR1
liver,Cholangiocyte,HNF1B
liver,Cholangiocyte,ITGB4
liver,Cholangiocyte,JAG1
liver,Cholangiocyte,KCNN2
liver,Cholangiocyte,KRT19
liver,Cholangiocyte,KRT7
liver,Cholangiocyte,LCN2
liver,Cholangiocyte,LGALS2
liver,Cholangiocyte,LGALS4
liver,Cholangiocyte,MMP7
liver,Cholangiocyte,MUC3
liver,Cholangiocyte,MUC3A
liver,Cholangiocyte,MUC5B
liver,Cholangiocyte,ONECUT2
liver,Cholangiocyte,PIGR
liver,Cholangiocyte,SCGB3A1
liver,Cholangiocyte,SCTR
liver,Cholangiocyte,SLC4A2
liver,Cholangiocyte,SOX9
liver,Cholangiocyte,SPP1
liver,Cholangiocyte,SSTR2
liver,Cholangiocyte,TACSTD2
liver,Cholangiocyte,TFF1
liver,Cholangiocyte,TFF2
liver,Cholangiocyte,TFF3
liver,Dendritic cell,CD11C
liver,Dendritic cell,CD123
liver,Dendritic cell,CD14
liver,Dendritic cell,CD52
liver,Dendritic cell,CD68
liver,Dendritic cell,CD74
liver,Dendritic cell,CD80
liver,Dendritic cell,CD83
liver,Dendritic cell,H2-AA
liver,Dendritic cell,H2-AB1
liver,Dendritic cell,H2-EB1
liver,Dendritic cell,HLA-DR
liver,Dendritic cell,IL3RA
liver,Dendritic cell,ITGAX
liver,Dendritic cell,PSMB8
liver,Dendritic cell,TYROBP
liver,Dendritic cell,UCP2
liver,Endothelial cell,ADGRF5
liver,Endothelial cell,APPBP2
liver,Endothelial cell,ARGLU1
liver,Endothelial cell,ATP10D
liver,Endothelial cell,BMP2
liver,Endothelial cell,BNIP1
liver,Endothelial cell,BST2
liver,Endothelial cell,BTNL9
liver,Endothelial cell,C11ORF96
liver,Endothelial cell,C1QTNF1
liver,Endothelial cell,C3ORF58
liver,Endothelial cell,CCDC85B
liver,Endothelial cell,CCL14
liver,Endothelial cell,CD105
liver,Endothelial cell,CD146
liver,Endothelial cell,CD31
liver,Endothelial cell,CD32B
liver,Endothelial cell,CD34
liver,Endothelial cell,CD4
liver,Endothelial cell,CD45
liver,Endothelial cell,CD71
liver,Endothelial cell,CDC73
liver,Endothelial cell,CDKL1
liver,Endothelial cell,CHD4
liver,Endothelial cell,CLEC1B
liver,Endothelial cell,CLEC2B
liver,Endothelial cell,CLEC4G
liver,Endothelial cell,CLEC4M
liver,Endothelial cell,CRBN
liver,Endothelial cell,CRHBP
liver,Endothelial cell,CTSL
liver,Endothelial cell,DCLRE1C
liver,Endothelial cell,DIPK2A
liver,Endothelial cell,DLC1
liver,Endothelial cell,DLG1
liver,Endothelial cell,DLK1
liver,Endothelial cell,DNASE1L3
liver,Endothelial cell,DOCK1
liver,Endothelial cell,DPP4
liver,Endothelial cell,DUSP5
liver,Endothelial cell,EFNB2
liver,Endothelial cell,ENG
liver,Endothelial cell,F8
liver,Endothelial cell,FCGR2B
liver,Endothelial cell,FCN2
liver,Endothelial cell,FCN3
liver,Endothelial cell,FILIP1
liver,Endothelial cell,FLK1
liver,Endothelial cell,FOSB
liver,Endothelial cell,FXYD6
liver,Endothelial cell,GBP4
liver,Endothelial cell,GGA2
liver,Endothelial cell,GNG11
liver,Endothelial cell,GPR116
liver,Endothelial cell,HARE
liver,Endothelial cell,HES1
liver,Endothelial cell,HYI
liver,Endothelial cell,IL1A
liver,Endothelial cell,IL1R1
liver,Endothelial cell,IL33
liver,Endothelial cell,KDR
liver,Endothelial cell,KIF1B
liver,Endothelial cell,KLHL28
liver,Endothelial cell,LDB2
liver,Endothelial cell,LYVE-1
liver,Endothelial cell,LYVE1
liver,Endothelial cell,MCAM
liver,Endothelial cell,MCM3AP
liver,Endothelial cell,MEF2C
liver,Endothelial cell,MFN1
liver,Endothelial cell,MGAT5
liver,Endothelial cell,MMRN2
liver,Endothelial cell,MPZL3
liver,Endothelial cell,MRC1
liver,Endothelial cell,MYF6
liver,Endothelial cell,OIT3
liver,Endothelial cell,PCDH12
liver,Endothelial cell,PECAM1
liver,Endothelial cell,PIK3C2A
liver,Endothelial cell,PLPP3
liver,Endothelial cell,PPAP2B
liver,Endothelial cell,PPWD1
liver,Endothelial cell,PTPRC
liver,Endothelial cell,RASGEF1B
liver,Endothelial cell,RASGRP3
liver,Endothelial cell,RELN
liver,Endothelial cell,RIN2
liver,Endothelial cell,SECISBP2L
liver,Endothelial cell,STAB1
liver,Endothelial cell,STAB2
liver,Endothelial cell,STRN3
liver,Endothelial cell,TCF12
liver,Endothelial cell,TER119
liver,Endothelial cell,TEX264
liver,Endothelial cell,TFRC
liver,Endothelial cell,TRAPPC11
liver,Endothelial cell,TSPAN7
liver,Endothelial cell,USHBP1
liver,Endothelial cell,USP48
liver,Endothelial cell,VWF
liver,Endothelial cell,ZNF286B
liver,Epithelial cell,ACTG1
liver,Epithelial cell,AMBP
liver,Epithelial cell,ANXA2
liver,Epithelial cell,C4BP
liver,Epithelial cell,C4BP-PS1
liver,Epithelial cell,C4BPA
liver,Epithelial cell,C4BPB
liver,Epithelial cell,CA2
liver,Epithelial cell,CAR2
liver,Epithelial cell,CD24
liver,Epithelial cell,CD24A
liver,Epithelial cell,CD63
liver,Epithelial cell,CHCHD10
liver,Epithelial cell,CKMT1
liver,Epithelial cell,CKMT1A
liver,Epithelial cell,CKMT1B
liver,Epithelial cell,CLDN7
liver,Epithelial cell,CLU
liver,Epithelial cell,CP
liver,Epithelial cell,CXCL5
liver,Epithelial cell,DMBT1
liver,Epithelial cell,F3
liver,Epithelial cell,GAS6
liver,Epithelial cell,GSTA4
liver,Epithelial cell,GSTO1
liver,Epithelial cell,HBEGF
liver,Epithelial cell,HES1
liver,Epithelial cell,IL1RN
liver,Epithelial cell,KRT18
liver,Epithelial cell,KRT19
liver,Epithelial cell,KRT8
liver,Epithelial cell,LCN2
liver,Epithelial cell,LGALS3
liver,Epithelial cell,LGALS4
liver,Epithelial cell,LY6D
liver,Epithelial cell,MGST1
liver,Epithelial cell,MMP7
liver,Epithelial cell,MUC1
liver,Epithelial cell,PDZK1IP1
liver,Epithelial cell,PLET1
liver,Epithelial cell,S100A11
liver,Epithelial cell,S100A6
liver,Epithelial cell,S100G
liver,Epithelial cell,SFN
liver,Epithelial cell,SPP1
liver,Epithelial cell,SPRR1A
liver,Epithelial cell,SULT1A1
liver,Epithelial cell,TM4SF4
liver,Epithelial cell,TNFRSF12A
liver,Epithelial cell,WFDC2
liver,Hematopoietic cell,CD109
liver,Hematopoietic cell,CD34
liver,Hematopoietic cell,CD45
liver,Hematopoietic cell,CD71
liver,Hematopoietic cell,PTPRC
liver,Hematopoietic cell,TER119
liver,Hematopoietic cell,TFRC
liver,Hepatoblast,AFP
liver,Hepatoblast,ALB
liver,Hepatoblast,ALBUMIN
liver,Hepatoblast,CD45
liver,Hepatoblast,CD71
liver,Hepatoblast,CDH1
liver,Hepatoblast,CEBPA
liver,Hepatoblast,DLK1
liver,Hepatoblast,FOXM1
liver,Hepatoblast,GGT1
liver,Hepatoblast,HHEX
liver,Hepatoblast,HNF1B
liver,Hepatoblast,HNF4A
liver,Hepatoblast,KRT14
liver,Hepatoblast,KRT18
liver,Hepatoblast,KRT8
liver,Hepatoblast,MAP2K4
liver,Hepatoblast,MET
liver,Hepatoblast,PDGFR-ALPHA
liver,Hepatoblast,PDGFRA
